,ID,cluster.mSP,H_vulgaris105,Gene_name,H_sapiens,P_Name,G_Name,GO_BP,Description
1066,R035599c0g1_i03,4,g5530,NAN,DNAJC3,"DnaJ homolog subfamily C member 3 (Interferon-induced, double-stranded RNA-activated protein kinase inhibitor) (Protein kinase inhibitor of 58 kDa) (Protein kinase inhibitor p58)",DNAJC3 P58IPK,cellular response to cold [GO:0070417]; negative regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation [GO:1903912]; negative regulation of protein kinase activity [GO:0006469]; positive regulation of translation initiation in response to endoplasmic reticulum stress [GO:0036494]; protein folding in endoplasmic reticulum [GO:0034975]; response to unfolded protein [GO:0006986],"Involved in the unfolded protein response (UPR) during endoplasmic reticulum (ER) stress. Acts as a negative regulator of the EIF2AK4/GCN2 kinase activity by preventing the phosphorylation of eIF-2-alpha at 'Ser-52' and hence attenuating general protein synthesis under ER stress, hypothermic and amino acid starving stress conditions. Co-chaperone of HSPA8/HSC70, it stimulates its ATPase activity. May inhibit both the autophosphorylation of EIF2AK2/PKR and the ability of EIF2AK2 to catalyze phosphorylation of the EIF2A (PubMed:7511204). May inhibit EIF2AK3/PERK activity (By similarity). "
1067,R035625c0g1_i03,2,g28959,CHN-B,NA,Endochitinase B (CHN-B) (EC 3.2.1.14),CHN50,cell wall macromolecule catabolic process [GO:0016998]; chitin catabolic process [GO:0006032]; plant-type hypersensitive response [GO:0009626]; polysaccharide catabolic process [GO:0000272],Defense against chitin-containing fungal pathogens.
1068,R035642c0g1_i01,7,NA,NAN,NA,NA,NA,NA,NA
1069,R035652c0g1_i01,4,g30485,NAN,PIP4K2B,Phosphatidylinositol 5-phosphate 4-kinase type-2 alpha (EC 2.7.1.149) (1-phosphatidylinositol 5-phosphate 4-kinase 2-alpha) (Diphosphoinositide kinase 2-alpha) (PIPK2 alpha) (Phosphatidylinositol 5-phosphate 4-kinase type II alpha) (PI(5)P 4-kinase type II alpha) (PIP4KII-alpha) (PtdIns(5)P-4-kinase isoform 2-alpha),Pip4k2a Pip5k2a,NA,"Catalyzes the phosphorylation of phosphatidylinositol 5-phosphate (PtdIns5P) on the fourth hydroxyl of the myo-inositol ring, to form phosphatidylinositol 4,5-bisphosphate (PtdIns(4,5)P2). May exert its function by regulating the levels of PtdIns5P, which functions in the cytosol by increasing AKT activity and in the nucleus signals through ING2. May regulate the pool of cytosolic PtdIns5P in response to the activation of tyrosine phosphorylation. May be involved in thrombopoiesis and the terminal maturation of megakaryocytes and regulation of their size (By similarity). May negatively regulate insulin-stimulated glucose uptake by lowering the levels of PtdIns5P. "
1070,R035658c0g1_i03,2,g24877,NAN,NA,NA,NA,NA,NA
1071,R035660c0g1_i01,7,g24306,mGluR5,NA,Metabotropic glutamate receptor 4 (mGluR4),Grm4 Gprc1d Mglur4,"G protein-coupled glutamate receptor signaling pathway [GO:0007216]; activation of MAPK activity [GO:0000187]; adenylate cyclase-inhibiting G protein-coupled glutamate receptor signaling pathway [GO:0007196]; chemical synaptic transmission [GO:0007268]; learning [GO:0007612]; regulation of synaptic transmission, glutamatergic [GO:0051966]; regulation of synaptic vesicle exocytosis [GO:2000300]",G-protein coupled receptor for glutamate. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors. Signaling inhibits adenylate cyclase activity (By similarity). 
1072,R035671c0g1_i01,1,g11860,NAN,NA,NA,NA,NA,NA
1073,R035676c0g1_i04,1,g21274,NAN,NA,Protein phosphatase 1 regulatory subunit 12B (Myosin phosphatase-targeting subunit 2) (Myosin phosphatase target subunit 2),Ppp1r12b Mypt2,signal transduction [GO:0007165],Regulates myosin phosphatase activity. Augments Ca(2+) sensitivity of the contractile apparatus (By similarity). 
1074,R035679c0g1_i03,8,g1743,NAN,NA,Laminin subunit alpha-4 (Laminin-14 subunit alpha) (Laminin-8 subunit alpha) (Laminin-9 subunit alpha),LAMA4,cell adhesion [GO:0007155]; extracellular matrix organization [GO:0030198]; negative regulation of cold-induced thermogenesis [GO:0120163]; regulation of cell adhesion [GO:0030155]; regulation of cell migration [GO:0030334]; regulation of embryonic development [GO:0045995],"Binding to cells via a high affinity receptor, laminin is thought to mediate the attachment, migration and organization of cells into tissues during embryonic development by interacting with other extracellular matrix components."
1075,R035681c8g1_i01,6,g13590,NAN,NA,Metabotropic glutamate receptor-like protein Q,grlQ DDB_G0287905,NA,NA
1076,R035687c0g2_i01,3,NA,KLC 4,NA,NA,KLC 4,NA,NA
1077,R035700c0g2_i01,5,g14229,NAN,NA,"Gremlin-2 (Cysteine knot superfamily 1, BMP antagonist 2) (DAN domain family member 3) (Protein related to DAN and cerberus)",GREM2 CKTSF1B2 DAND3 PRDC,BMP signaling pathway [GO:0030509]; cytokine-mediated signaling pathway [GO:0019221]; determination of dorsal identity [GO:0048263]; embryonic body morphogenesis [GO:0010172]; regulation of cytokine activity [GO:0060300]; sequestering of BMP from receptor via BMP binding [GO:0038098],"Cytokine that inhibits the activity of BMP2 and BMP4 in a dose-dependent manner, and thereby modulates signaling by BMP family members. Contributes to the regulation of embryonic morphogenesis via BMP family members. Antagonizes BMP4-induced suppression of progesterone production in granulosa cells. "
1078,R035701c0g1_i01,5,g20345,NAN,KARS1,Lysine--tRNA ligase (EC 2.7.7.-) (EC 6.1.1.6) (Lysyl-tRNA synthetase) (LysRS),Kars,"ERK1 and ERK2 cascade [GO:0070371]; activation of MAPK activity [GO:0000187]; basophil activation involved in immune response [GO:0002276]; diadenosine tetraphosphate biosynthetic process [GO:0015966]; lysyl-tRNA aminoacylation [GO:0006430]; negative regulation of cell population proliferation [GO:0008285]; positive regulation of ERK1 and ERK2 cascade [GO:0070374]; positive regulation of cytokine production involved in inflammatory response [GO:1900017]; positive regulation of cytokine secretion involved in immune response [GO:0002741]; positive regulation of macrophage activation [GO:0043032]; positive regulation of macrophage chemotaxis [GO:0010759]; positive regulation of metallopeptidase activity [GO:1905050]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of transcription, DNA-templated [GO:0045893]; response to X-ray [GO:0010165]; tumor necrosis factor-mediated signaling pathway [GO:0033209]","Catalyzes the specific attachment of an amino acid to its cognate tRNA in a 2 step reaction: the amino acid (AA) is first activated by ATP to form AA-AMP and then transferred to the acceptor end of the tRNA. When secreted, acts as a signaling molecule that induces immune response through the activation of monocyte/macrophages. Catalyzes the synthesis of the signaling molecule diadenosine tetraphosphate (Ap4A), and thereby mediates disruption of the complex between HINT1 and MITF and the concomitant activation of MITF transcriptional activity. "
1079,R035711c0g1_i01,7,g30343,CDK5,CDK5R1,"Cyclin-dependent kinase 5 activator 1 (CDK5 activator 1) (Cyclin-dependent kinase 5 regulatory subunit 1) (TPKII regulatory subunit) [Cleaved into: Cyclin-dependent kinase 5 activator 1, p35 (p35); Cyclin-dependent kinase 5 activator 1, p25 (p25) (Tau protein kinase II 23 kDa subunit) (p23)]",CDK5R1 CDK5R NCK5A,"G protein-coupled acetylcholine receptor signaling pathway [GO:0007213]; axon guidance [GO:0007411]; axonal fasciculation [GO:0007413]; brain development [GO:0007420]; cerebellum development [GO:0021549]; embryo development ending in birth or egg hatching [GO:0009792]; ephrin receptor signaling pathway [GO:0048013]; hippocampus development [GO:0021766]; ionotropic glutamate receptor signaling pathway [GO:0035235]; layer formation in cerebral cortex [GO:0021819]; negative regulation of axon extension [GO:0030517]; negative regulation of transcription, DNA-templated [GO:0045892]; neuron cell-cell adhesion [GO:0007158]; neuron differentiation [GO:0030182]; neuron migration [GO:0001764]; neuron projection development [GO:0031175]; peptidyl-threonine phosphorylation [GO:0018107]; positive regulation of cell cycle arrest [GO:0071158]; positive regulation of microtubule polymerization [GO:0031116]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein targeting to membrane [GO:0090314]; regulation of actin cytoskeleton organization [GO:0032956]; regulation of dendritic spine morphogenesis [GO:0061001]; rhythmic process [GO:0048511]; serine phosphorylation of STAT protein [GO:0042501]; superior olivary nucleus maturation [GO:0021722]",p35 is a neuron specific activator of CDK5. The complex p35/CDK5 is required for neurite outgrowth and cortical lamination. Involved in dendritic spine morphogenesis by mediating the EFNA1-EPHA4 signaling. Activator of TPKII. The complex p35/CDK5 participates in the regulation of the circadian clock by modulating the function of CLOCK protein: phosphorylates CLOCK at 'Thr-451' and 'Thr-461' and regulates the transcriptional activity of the CLOCK-ARNTL/BMAL1 heterodimer in association with altered stability and subcellular distribution (By similarity). 
1080,R035722c0g1_i01,5,g26877,hHDC ,HECA,Headcase protein homolog (hHDC),HECA HDC,negative regulation of mitotic cell cycle [GO:0045930]; respiratory tube development [GO:0030323],May play an important role in some human cancers. May be part of the regulatory mechanism in the development of epithelial tube networks such as the circulatory system and lungs. 
1081,R035736c0g1_i03,1,g2795,NAN,NA,NA,NA,NA,NA
1082,R035739c0g1_i01,4,NA,NAN,NA,NA,NA,NA,NA
1083,R035742c0g1_i01,1,g20794,BAR ,NA,Pyroglutamylated RF-amide peptide receptor (AQ27) (G-protein coupled receptor 103) (Orexigenic neuropeptide QRFP receptor) (SP9155),Qrfpr Gpr103,G protein-coupled receptor signaling pathway [GO:0007186],Receptor for the orexigenic neuropeptide QRFP. The activity of this receptor is mediated by G proteins that modulate adenylate cyclase activity and intracellular calcium levels. 
1084,R035751c0g1_i01,2,NA,NAN,NA,NA,NA,NA,NA
1085,R035756c2g1_i05,3,g11794,NAN,NA,Probable RNA-directed DNA polymerase from transposon X-element (EC 2.7.7.49) (Reverse transcriptase),X-element\ORF2 ORF2,"transposition, DNA-mediated [GO:0006313]",NA
1086,R035761c0g1_i01,8,g4473,NAN,OTOF,Otoferlin (Fer-1-like protein 2),Otof Fer1l2,cochlea development [GO:0090102]; sensory perception of sound [GO:0007605]; synaptic vesicle exocytosis [GO:0016079],Key calcium ion sensor involved in the Ca(2+)-triggered synaptic vesicle-plasma membrane fusion and in the control of neurotransmitter release at these output synapses. Interacts in a calcium-dependent manner to the presynaptic SNARE proteins at ribbon synapses of cochlear inner hair cells (IHCs) to trigger exocytosis of neurotransmitter. Also essential to synaptic exocytosis in immature outer hair cells (OHCs). May also play a role within the recycling of endosomes (By similarity). 
1087,R035767c0g1_i01,4,g23866,NAN,NA,Tyrosine-protein kinase STK (EC 2.7.10.2) (P57-STK),STK,NA,NA
1088,R035768c0g2_i01,5,g23860,NAN,PAK1IP1,p21-activated protein kinase-interacting protein 1-like (PAK1-interacting protein 1-like),pak1ip1,negative regulation of signal transduction [GO:0009968]; ribosomal large subunit biogenesis [GO:0042273],"Negatively regulates the PAK1 kinase. PAK1 is a member of the PAK kinase family, which has been shown to play a positive role in the regulation of signaling pathways involving MAPK8 and RELA. PAK1 exists as an inactive homodimer, which is activated by binding of small GTPases such as CDC42 to an N-terminal regulatory domain. PAK1IP1 also binds to the N-terminus of PAK1, and inhibits the specific activation of PAK1 by CDC42. May be involved in ribosomal large subunit assembly. "
1089,R035769c0g1_i01,5,g15445,NAN,SHE,SH2 domain-containing adapter protein B,SHB,angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; signal transduction [GO:0007165]; vascular endothelial growth factor receptor signaling pathway [GO:0048010],"Adapter protein which regulates several signal transduction cascades by linking activated receptors to downstream signaling components. May play a role in angiogenesis by regulating FGFR1, VEGFR2 and PDGFR signaling. May also play a role in T-cell antigen receptor/TCR signaling, interleukin-2 signaling, apoptosis and neuronal cells differentiation by mediating basic-FGF and NGF-induced signaling cascades. May also regulate IRS1 and IRS2 signaling in insulin-producing cells. "
1090,R035776c0g1_i03,9,g14380,NCF-2,NOXA1,Neutrophil cytosol factor 2 (NCF-2) (67 kDa neutrophil oxidase factor) (Neutrophil NADPH oxidase factor 2) (p67-phox),NCF2,phagocytosis [GO:0006909]; respiratory burst [GO:0045730]; superoxide anion generation [GO:0042554],"NCF2, NCF1, and a membrane bound cytochrome b558 are required for activation of the latent NADPH oxidase (necessary for superoxide production)."
1091,R035783c0g2_i01,2,g21772,NAN,NA,NA,NA,NA,NA
1092,R035784c0g1_i01,6,g19181,NAN,NA,NA,NA,NA,NA
1093,R035796c23g1_i01,4,NA,NAN,NA,NA,NA,NA,NA
1094,R035800c0g3_i01,9,g21027,sFRP-3,FRZB,Secreted frizzled-related protein 3 (sFRP-3) (Frezzled) (Fritz) (Frizzled-related protein 1) (FrzB-1),Frzb Fiz Fre Frzb1 Sfrp3,canonical Wnt signaling pathway [GO:0060070]; cochlea morphogenesis [GO:0090103]; convergent extension involved in organogenesis [GO:0060029]; inner ear morphogenesis [GO:0042472]; negative regulation of Wnt signaling pathway [GO:0030178]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cartilage development [GO:0061037]; negative regulation of cell development [GO:0010721]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of hepatocyte differentiation [GO:0070367]; neural crest cell differentiation [GO:0014033]; non-canonical Wnt signaling pathway [GO:0035567]; positive regulation of apoptotic process [GO:0043065]; positive regulation of fat cell differentiation [GO:0045600]; somite development [GO:0061053],Soluble frizzled-related proteins (sFRPS) function as modulators of Wnt signaling through direct interaction with Wnts. They have a role in regulating cell growth and differentiation in specific cell types. SFRP3/FRZB appears to be involved in limb skeletogenesis. Antagonist of Wnt8 signaling. Regulates chondrocyte maturation and long bone development (By similarity). 
1095,R035800c0g5_i01,9,g21027,NAN,FRZB,Secreted frizzled-related protein 3 (sFRP-3) (Frezzled) (Fritz) (Frizzled-related protein 1) (FrzB-1),Frzb Fiz Fre Frzb1 Sfrp3,canonical Wnt signaling pathway [GO:0060070]; cochlea morphogenesis [GO:0090103]; convergent extension involved in organogenesis [GO:0060029]; inner ear morphogenesis [GO:0042472]; negative regulation of Wnt signaling pathway [GO:0030178]; negative regulation of canonical Wnt signaling pathway [GO:0090090]; negative regulation of cartilage development [GO:0061037]; negative regulation of cell development [GO:0010721]; negative regulation of cell growth [GO:0030308]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of hepatocyte differentiation [GO:0070367]; neural crest cell differentiation [GO:0014033]; non-canonical Wnt signaling pathway [GO:0035567]; positive regulation of apoptotic process [GO:0043065]; positive regulation of fat cell differentiation [GO:0045600]; somite development [GO:0061053],Soluble frizzled-related proteins (sFRPS) function as modulators of Wnt signaling through direct interaction with Wnts. They have a role in regulating cell growth and differentiation in specific cell types. SFRP3/FRZB appears to be involved in limb skeletogenesis. Antagonist of Wnt8 signaling. Regulates chondrocyte maturation and long bone development (By similarity). 
1096,R035805c0g1_i01,9,g9811,FIBL-6,NA,Hemicentin-2,Hmcn2,response to stimulus [GO:0050896],NA
1097,R035810c0g1_i01,7,g7799,NAN,NA,Transmembrane emp24 domain-containing protein 7 (p24 family protein gamma-3) (p24gamma3) (p27),Tmed7,Golgi organization [GO:0007030]; endoplasmic reticulum to Golgi vesicle-mediated transport [GO:0006888]; intracellular protein transport [GO:0006886],"Potential role in vesicular protein trafficking, mainly in the early secretory pathway. Appears to play a role in the biosynthesis of secreted cargo including processing and post-translational modifications (By similarity). "
1098,R035812c2g2_i01,8,g2335,NAN,NA,Transient receptor potential cation channel subfamily A member 1 (dTRPA1) (Ankyrin-like with transmembrane domains protein 1) (dANKTM1),TrpA1 Anktm1 CG5751,calcium ion transport [GO:0006816]; cation transport [GO:0006812]; cellular response to heat [GO:0034605]; detection of chemical stimulus involved in sensory perception of bitter taste [GO:0001580]; detection of chemical stimulus involved in sensory perception of pain [GO:0050968]; detection of temperature stimulus involved in sensory perception of pain [GO:0050965]; detection of temperature stimulus involved in thermoception [GO:0050960]; mechanosensory behavior [GO:0007638]; negative phototaxis [GO:0046957]; neuronal signal transduction [GO:0023041]; phototransduction [GO:0007602]; positive regulation of calcium-mediated signaling [GO:0050850]; response to heat [GO:0009408]; response to light stimulus [GO:0009416]; temperature compensation of the circadian clock [GO:0010378]; thermosensory behavior [GO:0040040]; thermotaxis [GO:0043052],Essential for thermotaxis by sensing environmental temperature. Receptor-activated non-selective cation channel involved in detection of sensations such as temperature. Involved in heat nociception by being activated by warm temperature of about 24-29 degrees Celsius. 
1099,R035819c0g2_i01,6,g7646,NAN,NA,NA,NA,NA,NA
1100,R035821c0g1_i01,1,NA,NAN,SOST,NA,SOST,NA,NA
1101,R035833c0g1_i01,6,g24703,NAN,NA,NA,NA,NA,NA
1102,R035837c0g2_i01,3,NA,NAN,NA,NA,NA,NA,NA
1103,R035844c0g2_i01,5,g27364,NAN,TCF7L1,"Protein pangolin, isoforms A/H/I/S (dTCF)",pan TCF CG34403,"Wnt signaling pathway [GO:0016055]; canonical Wnt signaling pathway [GO:0060070]; embryonic pattern specification [GO:0009880]; heart development [GO:0007507]; imaginal disc-derived wing morphogenesis [GO:0007476]; mesodermal cell fate determination [GO:0007500]; negative regulation of transcription, DNA-templated [GO:0045892]; positive regulation of gene expression [GO:0010628]; positive regulation of transcription by RNA polymerase II [GO:0045944]; positive regulation of transcription, DNA-templated [GO:0045893]; regulation of stem cell proliferation [GO:0072091]; regulation of transcription by RNA polymerase II [GO:0006357]; regulation of transcription, DNA-templated [GO:0006355]; salivary gland morphogenesis [GO:0007435]; segment polarity determination [GO:0007367]; spiracle morphogenesis, open tracheal system [GO:0035277]","Segment polarity protein. Functions together with arm to transduce the Wingless (Wg) signal in embryos and in developing adult tissues. Acts as a transcriptional activator, but in the absence of arm, it binds to gro and acts as a transcriptional repressor of wg-responsive genes. "
1104,R035846c0g2_i01,7,NA,NAN,NA,NA,NA,NA,NA
1105,R035848c0g2_i01,7,g29518,NAN,NA,5-hydroxytryptamine receptor 1D (5-HT-1D) (5-HT1D) (Serotonin 1D alpha receptor) (5-HT-1D-alpha) (Serotonin receptor 1D),HTR1D HTR1DA HTRL,"G protein-coupled receptor signaling pathway [GO:0007186]; G protein-coupled receptor signaling pathway, coupled to cyclic nucleotide second messenger [GO:0007187]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; chemical synaptic transmission [GO:0007268]; intestine smooth muscle contraction [GO:0014827]; regulation of behavior [GO:0050795]; regulation of locomotion [GO:0040012]; vasoconstriction [GO:0042310]","G-protein coupled receptor for 5-hydroxytryptamine (serotonin). Also functions as a receptor for ergot alkaloid derivatives, various anxiolytic and antidepressant drugs and other psychoactive substances. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Signaling inhibits adenylate cyclase activity. Regulates the release of 5-hydroxytryptamine in the brain, and thereby affects neural activity. May also play a role in regulating the release of other neurotransmitters. May play a role in vasoconstriction. "
1106,R035850c0g1_i01,5,g21095,NAN,JADE3,Protein Jade-3 (Jade family PHD finger protein 3) (PHD finger protein 16),Jade3 Kiaa0215 Phf16,histone H3 acetylation [GO:0043966]; histone H4-K12 acetylation [GO:0043983]; histone H4-K5 acetylation [GO:0043981]; histone H4-K8 acetylation [GO:0043982],"Component of the HBO1 complex which has a histone H4-specific acetyltransferase activity, a reduced activity toward histone H3 and is responsible for the bulk of histone H4 acetylation in vivo. "
1107,R035854c0g1_i01,3,g33661,NAN,CPEB1,Cytoplasmic polyadenylation element-binding protein 1 (CPE-BP1) (CPE-binding protein 1) (CPEB-1),CPEB1,cellular response to amino acid stimulus [GO:0071230]; cellular response to hypoxia [GO:0071456]; cellular response to insulin stimulus [GO:0032869]; mRNA processing [GO:0006397]; negative regulation of cytoplasmic translation [GO:2000766]; positive regulation of mRNA polyadenylation [GO:1900365],"Sequence-specific RNA-binding protein that regulates mRNA cytoplasmic polyadenylation and translation initiation during oocyte maturation, early development and at postsynapse sites of neurons. Binds to the cytoplasmic polyadenylation element (CPE), an uridine-rich sequence element (consensus sequence 5'-UUUUUAU-3') within the mRNA 3'-UTR. In absence of phosphorylation and in association with TACC3 is also involved as a repressor of translation of CPE-containing mRNA; a repression that is relieved by phosphorylation or degradation. Involved in the transport of CPE-containing mRNA to dendrites; those mRNAs may be transported to dendrites in a translationally dormant form and translationally activated at synapses. Its interaction with APLP1 promotes local CPE-containing mRNA polyadenylation and translation activation. Induces the assembly of stress granules in the absence of stress. Required for cell cycle progression, specifically for prophase entry. "
1108,R035869c0g1_i01,4,g5154,NAN,LMNA,Lamin-L(I),LMNA,NA,"Lamins are components of the nuclear lamina, a fibrous layer on the nucleoplasmic side of the inner nuclear membrane, which is thought to provide a framework for the nuclear envelope and may also interact with chromatin."
1109,R035873c0g1_i01,3,g22655,NAN,BCL2,Apoptosis regulator BAX,Bax,B cell apoptotic process [GO:0001783]; activation of cysteine-type endopeptidase activity involved in apoptotic process [GO:0006919]; activation of cysteine-type endopeptidase activity involved in apoptotic process by cytochrome c [GO:0008635]; aging [GO:0007568]; apoptotic mitochondrial changes [GO:0008637]; apoptotic process [GO:0006915]; apoptotic signaling pathway [GO:0097190]; brain development [GO:0007420]; cellular respiration [GO:0045333]; cerebral cortex development [GO:0021987]; establishment or maintenance of transmembrane electrochemical gradient [GO:0010248]; extrinsic apoptotic signaling pathway in absence of ligand [GO:0097192]; glial cell apoptotic process [GO:0034349]; inner mitochondrial membrane organization [GO:0007007]; intrinsic apoptotic signaling pathway [GO:0097193]; intrinsic apoptotic signaling pathway in response to DNA damage [GO:0008630]; intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress [GO:0070059]; mitochondrial fragmentation involved in apoptotic process [GO:0043653]; mitochondrial fusion [GO:0008053]; negative regulation of mitochondrial membrane potential [GO:0010917]; negative regulation of protein binding [GO:0032091]; outer mitochondrial membrane organization [GO:0007008]; ovarian follicle development [GO:0001541]; positive regulation of apoptotic process [GO:0043065]; positive regulation of endoplasmic reticulum unfolded protein response [GO:1900103]; positive regulation of intrinsic apoptotic signaling pathway [GO:2001244]; positive regulation of neuron apoptotic process [GO:0043525]; positive regulation of protein oligomerization [GO:0032461]; positive regulation of release of cytochrome c from mitochondria [GO:0090200]; regulation of mitochondrial membrane potential [GO:0051881]; regulation of protein homodimerization activity [GO:0043496]; release of cytochrome c from mitochondria [GO:0001836]; release of matrix enzymes from mitochondria [GO:0032976]; response to cocaine [GO:0042220]; response to copper ion [GO:0046688]; response to corticosterone [GO:0051412]; response to drug [GO:0042493]; response to toxic substance [GO:0009636],"Accelerates programmed cell death by binding to, and antagonizing the apoptosis repressor BCL2 or its adenovirus homolog E1B 19k protein. Under stress conditions, undergoes a conformation change that causes translocation to the mitochondrion membrane, leading to the release of cytochrome c that then triggers apoptosis. Promotes activation of CASP3, and thereby apoptosis."
1110,R035881c0g1_i01,2,g24017,NAN,NA,"N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase 4 (EC 2.4.1.149) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 4) (BGnT-4) (Beta-1,3-Gn-T4) (Beta-1,3-N-acetylglucosaminyltransferase 4) (Beta3Gn-T4)",B3GNT4 UNQ1898/PRO4344,O-glycan processing [GO:0016266]; keratan sulfate biosynthetic process [GO:0018146]; poly-N-acetyllactosamine biosynthetic process [GO:0030311]; protein glycosylation [GO:0006486],"Beta-1,3-N-acetylglucosaminyltransferase involved in the synthesis of poly-N-acetyllactosamine. Has activity for type 2 oligosaccharides. "
1111,R035887c0g3_i01,5,g30442,Naked-1,NKD1,NA,Naked-1,NA,NA
1112,R035897c1g1_i01,2,g12543,RanBP3 ,RANBP3,Ran-binding protein 3 (RanBP3),RANBP3 QccE-19613,intracellular transport [GO:0046907]; protein transport [GO:0015031],"Acts as a cofactor for XPO1/CRM1-mediated nuclear export, perhaps as export complex scaffolding protein. Bound to XPO1/CRM1, stabilizes the XPO1/CRM1-cargo interaction. In the absence of Ran-bound GTP prevents binding of XPO1/CRM1 to the nuclear pore complex. Binds to CHC1/RCC1 and increases the guanine nucleotide exchange activity of CHC1/RCC1. Recruits XPO1/CRM1 to CHC1/RCC1 in a Ran-dependent manner. Negative regulator of TGF-beta signaling through interaction with the R-SMAD proteins, SMAD2 and SMAD3, and mediating their nuclear export (By similarity). "
1113,R035902c0g1_i05,5,g10511,NAN,FAM149B1,Protein FAM149A,Fam149a,NA,NA
1114,R035908c0g1_i01,2,g564,NAN,NA,Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide I),COI,aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119],Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1-3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B.
1115,R035908c1g1_i01,7,g564,NAN,NA,Cytochrome c oxidase subunit 1 (EC 1.9.3.1) (Cytochrome c oxidase polypeptide I),COI,aerobic respiration [GO:0009060]; electron transport coupled proton transport [GO:0015990]; oxidative phosphorylation [GO:0006119],Cytochrome c oxidase is the component of the respiratory chain that catalyzes the reduction of oxygen to water. Subunits 1-3 form the functional core of the enzyme complex. CO I is the catalytic subunit of the enzyme. Electrons originating in cytochrome c are transferred via the copper A center of subunit 2 and heme A of subunit 1 to the bimetallic center formed by heme A3 and copper B.
1116,R035908c1g3_i01,2,g557,NAN,NA,NA,NA,NA,NA
1117,R035908c1g4_i01,4,g557,NAN,NA,NA,NA,NA,NA
1118,R035912c0g2_i01,7,g25174,NAN,NA,NA,NA,NA,NA
1119,R035921c0g1_i01,9,g19112,NAN,EFNA1,NA,EFNA1,NA,NA
1120,R035932c2g4_i06,7,g17179,NAN,TMEM175,Endosomal/lysosomal potassium channel TMEM175 (Transmembrane protein 175),tmem175 si:ch211-168m18.2,phagosome-lysosome fusion [GO:0090385]; potassium ion transmembrane transport [GO:0071805]; regulation of lysosomal lumen pH [GO:0035751],Organelle-specific potassium channel specifically responsible for potassium conductance in endosomes and lysosomes. Forms a potassium-permeable leak-like channel. 
1121,R035940c0g1_i02,2,g22929,NAN,NA,Solute carrier organic anion transporter family member 4C1 (Oatp-R) (Solute carrier family 21 member 20),Slco4c1 Oatp4c1 Slc21a20,cell differentiation [GO:0030154]; multicellular organism development [GO:0007275]; organic anion transport [GO:0015711]; sodium-independent organic anion transport [GO:0043252]; spermatogenesis [GO:0007283],"Organic anion transporter, capable of transporting pharmacological substances such as digoxin, ouabain, thyroxine, methotrexate and cAMP. May participate in the regulation of membrane transport of ouabain. Involved in the uptake of the dipeptidyl peptidase-4 inhibitor sitagliptin and hence may play a role in its transport into and out of renal proximal tubule cells. May be involved in the first step of the transport pathway of digoxin and various compounds into the urine in the kidney. May be involved in sperm maturation by enabling directed movement of organic anions and compounds within or between cells. This ion-transporting process is important to maintain the strict epididymal homeostasis necessary for sperm maturation. May have a role in secretory functions since seminal vesicle epithelial cells are assumed to secrete proteins involved in decapacitation by modifying surface proteins to facilitate the acquisition of the ability to fertilize the egg. "
1122,R035943c0g1_i02,3,g24253,EF-1-delta ,NA,Elongation factor 1-delta (EF-1-delta),EEF1D QthA-21064 QtsA-17735,NA,"Isoform 1: EF-1-beta and EF-1-delta stimulate the exchange of GDP bound to EF-1-alpha to GTP, regenerating EF-1-alpha for another round of transfer of aminoacyl-tRNAs to the ribosome. "
